Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;401;3f17af16-b77a-1d97-fe70-15d93714a9ca
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;405;cafb0a2e-38c9-2510-d3e3-96cec97fd13a
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухие молоко и сливки;402;ab41feac-d34e-c124-064c-a5bfcd9ae64a
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко сгущенное;402;8684d18e-d967-512c-20c9-33d7df8695d2
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сыр;406;b0f7e417-8360-98e2-dc37-03b5e50930a0
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки сгущенные;402;3f76943d-7dac-6c73-e682-983423433e0c
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко сгущенное концентрированное;402;6d86f6b9-9338-9105-f7a8-0558d64944f8
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;концентрат протеинов молока;404;704ad282-9b1b-c5a6-543d-5eb4a4a9c4f3
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозная молочная сыворотка;403;3be4b437-6205-4211-b4fb-ac790608d6fb
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозная молочная сыворотка;404;3be4b437-6205-4211-b4fb-ac790608d6fb
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозный сыр;406;e6617563-365f-42b8-9343-20302d8c6260
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозный сыр;406;e6617563-365f-42b8-9343-20302d8c6260
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сыворотка сухая деминерализованная из коровьего молока;404;737005d7-dd92-458a-8030-7f508a6bdca5
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко и сливки;402;9a1f8985-1d34-e7a9-ee67-1a73290922e7
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;403;5c638f3c-3514-d70a-06aa-2b3dc46f3147
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки стерилизованные;401;0e12df38-ca88-65cb-5a1b-50668395bb60
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая молочная смесь с сахаром;402;d112f4cf-1bd5-46a5-b95c-1a24dedec9a0
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;концентрат молочного белка;404;c7a1ef3f-2394-46e3-a7d9-b99f04d0d976
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозный ангидрированный молочный жир;405;b2c428c2-a9c1-4bb7-ae74-523c5c6d6d7a
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сметана;403;78e61b56-bab2-4a4b-b2a7-c87de0395be3
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;кефир;403;1064ca2c-d39d-4625-9bdf-7e7360bb667e
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;масса творожная;406;ddbbe640-11cf-484d-8599-4dc3bc4be9a9
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;десерт сметанный;403;8bfae6a9-aa85-45a0-8e8e-a5f1970140d8
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная сыворотка сгущенная;404;1dafc4be-ec20-4ba5-9bf7-7b1ae3909348
